,date,teff,ts,ps
0,2021-04-22 00:00:00,258.678514,295.6767511102375,1003.97454764724
1,2021-04-22 03:00:00,258.48587100000003,294.35438858819003,1002.5369880000001
2,2021-04-22 06:00:00,258.23713349999997,293.285439544095,1000.6673676472401
3,2021-04-22 09:00:00,257.94563450000004,292.21783954409494,1001.4764676472399
4,2021-04-22 12:00:00,257.87183600000003,296.544471455905,1002.11946764724
5,2021-04-22 15:00:00,258.13441500000005,304.457501455905,1002.40006764724
6,2021-04-22 18:00:00,258.42405599999995,303.79671269133496,1001.153688
7,2021-04-22 21:00:00,258.60951500000004,297.97877777952505,998.48176764724
8,2021-04-23 00:00:00,258.722936,295.22507291181,1001.4804879999999
9,2021-04-23 03:00:00,258.795135,293.93233158819,1003.64654764724
10,2021-04-23 06:00:00,258.420717,292.24270149999995,1000.718088
11,2021-04-23 09:00:00,258.46999650000004,290.85017177952506,1000.607488
12,2021-04-23 12:00:00,258.6476205,294.930136,1001.85746764724
13,2021-04-23 15:00:00,258.5316955,300.082681220475,1002.4131
14,2021-04-23 18:00:00,258.82243650000004,303.100854103145,1000.2965879999999
15,2021-04-23 21:00:00,259.0488005,297.05410282362004,998.5358
16,2021-04-24 00:00:00,259.08886250000006,295.76362677952505,1001.019288
17,2021-04-24 03:00:00,258.95029050000005,293.504771,998.69726764724
18,2021-04-24 06:00:00,258.3893475,290.86345430866504,999.15376764724
19,2021-04-24 09:00:00,257.9548985,290.975533455905,1002.417388
20,2021-04-24 12:00:00,257.944218,293.0625365,1002.8187879999999
21,2021-04-24 15:00:00,257.9350115,296.2738173677151,1005.58594764724
22,2021-04-24 18:00:00,257.737162,293.06189708819005,1001.42531529448
23,2021-04-24 21:00:00,257.779509,292.60797445590504,1000.275188
24,2021-04-25 00:00:00,257.2469615,292.25216041181,1004.900688
25,2021-04-25 03:00:00,257.1101225,290.41674327952506,1005.0271879999999
26,2021-04-25 06:00:00,256.6671795,289.83454132362,1005.204488
27,2021-04-25 09:00:00,256.51128000000006,289.959196544095,1005.510588
28,2021-04-25 12:00:00,256.5488485,292.252871867715,1008.07714764724
29,2021-04-25 15:00:00,256.5359485,296.09461014723996,1007.3442476472401
30,2021-04-25 18:00:00,256.97492200000005,296.97689308818997,1006.49714764724
31,2021-04-25 21:00:00,257.1313065,294.73260600000003,1006.4220476472401
32,2021-04-26 00:00:00,256.91466500000007,288.5860443602375,1007.4380476472401
33,2021-04-26 03:00:00,256.6276485,287.17289417638,1008.70124764724
34,2021-04-26 06:00:00,256.4651055,285.676001455905,1007.519788
35,2021-04-26 09:00:00,256.2226145,284.809634955905,1007.9774476472401
36,2021-04-26 12:00:00,256.318598,289.316201455905,1010.00294764724
37,2021-04-26 15:00:00,256.5416255,296.89263986771505,1008.829488
38,2021-04-26 18:00:00,256.86018,297.959939867715,1006.1345880000001
39,2021-04-26 21:00:00,256.70742500000006,290.9451054338575,1005.2577000000001
40,2021-04-27 00:00:00,256.583147,286.17083645590503,1008.361288
41,2021-04-27 03:00:00,256.3963635,284.41352163976245,1008.2906879999999
42,2021-04-27 06:00:00,256.43930750000004,283.54180341181,1008.4668879999999
43,2021-04-27 09:00:00,256.36255050000005,282.318633455905,1005.98366764724
44,2021-04-27 12:00:00,256.25065700000005,287.95666991181,1010.5245476472401
45,2021-04-27 15:00:00,256.4578755,296.38583795590506,1009.6138476472402
46,2021-04-27 18:00:00,256.9324165,297.46997291181003,1008.28734764724
47,2021-04-27 21:00:00,257.055439,291.44300450000003,1007.54364764724
48,2021-04-28 00:00:00,256.96358499999997,286.97270491181,1008.0085879999999
49,2021-04-28 03:00:00,256.83661300000006,284.96415566181,1008.7020476472401
50,2021-04-28 06:00:00,256.726849,283.2530015,1006.6505
51,2021-04-28 09:00:00,256.442996,282.88880495590496,1010.16414764724
52,2021-04-28 12:00:00,256.286744,288.59013304409496,1011.1264880000001
53,2021-04-28 15:00:00,256.38914900000003,297.5189665,1010.775288
54,2021-04-28 18:00:00,256.802411,299.36480393385756,1009.56634764724
55,2021-04-28 21:00:00,256.7362525,291.9902665,1009.8546476472402
56,2021-04-29 00:00:00,256.5687175,287.3775928897625,1010.42244764724
57,2021-04-29 03:00:00,256.46490450000005,285.42673991181,1010.6084476472402
58,2021-04-29 06:00:00,256.38595050000004,283.4906365,1011.05554764724
59,2021-04-29 09:00:00,256.102924,282.2080365,1011.40054764724
60,2021-04-29 12:00:00,255.990994,288.708133044095,1012.1078476472401
61,2021-04-29 15:00:00,256.28622,299.783028132285,1012.45044764724
62,2021-04-29 18:00:00,256.667387,300.809466455905,1009.3501476472402
63,2021-04-29 21:00:00,256.86487300000005,292.47606649999994,1010.01594764724
64,2021-04-30 00:00:00,256.87053750000007,286.88703718385756,1010.9429476472401
65,2021-04-30 03:00:00,256.894317,285.15593149999995,1008.8584880000001
66,2021-04-30 06:00:00,256.7166085,284.067795,1006.86626764724
67,2021-04-30 09:00:00,256.50092450000005,284.55329654409496,1008.76414764724
68,2021-04-30 12:00:00,256.55720349999996,291.07249804409497,1008.21936764724
69,2021-04-30 15:00:00,256.82798,300.18733641181007,1008.6770999999999
70,2021-04-30 18:00:00,257.3398125,302.65666799999997,1003.84986764724
71,2021-04-30 21:00:00,257.4606125,295.22330300000004,1003.31516764724
72,2021-05-01 00:00:00,257.4992055,290.96437222795254,1005.958988
73,2021-05-01 03:00:00,257.58289,289.138238,1005.183288
74,2021-05-01 06:00:00,257.33918700000004,287.822303,1004.9905879999999
75,2021-05-01 09:00:00,257.34597850000006,287.91920304409496,1004.6221879999999
