Time,sumaTodos
2021-04-22 11:30:00,0
2021-04-22 12:00:00,0
2021-04-22 12:30:00,0
2021-04-22 13:00:00,0
2021-04-22 13:30:00,0
2021-04-22 14:00:00,0
2021-04-22 14:30:00,0
2021-04-22 15:00:00,0
2021-04-22 15:30:00,0
2021-04-22 16:00:00,0
2021-04-22 16:30:00,0
2021-04-22 17:00:00,0
2021-04-22 17:30:00,0
2021-04-22 18:00:00,0
2021-04-22 18:30:00,0
2021-04-22 19:00:00,0
2021-04-22 19:30:00,0
2021-04-22 20:00:00,0
2021-04-22 20:30:00,0
2021-04-22 21:00:00,29977
2021-04-22 21:30:00,90070
2021-04-22 22:00:00,39718
2021-04-22 22:30:00,76987
2021-04-22 23:00:00,91536
2021-04-22 23:30:00,90550
2021-04-23 00:00:00,90606
2021-04-23 00:30:00,90976
2021-04-23 01:00:00,90123
2021-04-23 01:30:00,89659
2021-04-23 02:00:00,87872
2021-04-23 02:30:00,93712
2021-04-23 03:00:00,90473
2021-04-23 03:30:00,90163
2021-04-23 04:00:00,87773
2021-04-23 04:30:00,88360
2021-04-23 05:00:00,91671
2021-04-23 05:30:00,88001
2021-04-23 06:00:00,89866
2021-04-23 06:30:00,88102
2021-04-23 07:00:00,91350
2021-04-23 07:30:00,87259
2021-04-23 08:00:00,89713
2021-04-23 08:30:00,91625
2021-04-23 09:00:00,89519
2021-04-23 09:30:00,89339
2021-04-23 10:00:00,90857
2021-04-23 10:30:00,87095
2021-04-23 11:00:00,95172
2021-04-23 11:30:00,92268
2021-04-23 12:00:00,91408
2021-04-23 12:30:00,91020
2021-04-23 13:00:00,92421
2021-04-23 13:30:00,89697
2021-04-23 14:00:00,89959
2021-04-23 14:30:00,91953
2021-04-23 15:00:00,93792
2021-04-23 15:30:00,92110
2021-04-23 16:00:00,93512
2021-04-23 16:30:00,93546
2021-04-23 17:00:00,88399
2021-04-23 17:30:00,91399
2021-04-23 18:00:00,96331
2021-04-23 18:30:00,92523
2021-04-23 19:00:00,93135
2021-04-23 19:30:00,91990
2021-04-23 20:00:00,93703
2021-04-23 20:30:00,90930
2021-04-23 21:00:00,88797
2021-04-23 21:30:00,89442
2021-04-23 22:00:00,94957
2021-04-23 22:30:00,91927
2021-04-23 23:00:00,89714
2021-04-23 23:30:00,89550
2021-04-24 00:00:00,91884
2021-04-24 00:30:00,92467
2021-04-24 01:00:00,92299
2021-04-24 01:30:00,89123
2021-04-24 02:00:00,89970
2021-04-24 02:30:00,92823
2021-04-24 03:00:00,88214
2021-04-24 03:30:00,87926
2021-04-24 04:00:00,88907
2021-04-24 04:30:00,88692
2021-04-24 05:00:00,90571
2021-04-24 05:30:00,91967
2021-04-24 06:00:00,89083
2021-04-24 06:30:00,87417
2021-04-24 07:00:00,91005
2021-04-24 07:30:00,90554
2021-04-24 08:00:00,89303
2021-04-24 08:30:00,91859
2021-04-24 09:00:00,87340
2021-04-24 09:30:00,90000
2021-04-24 10:00:00,88282
2021-04-24 10:30:00,87097
2021-04-24 11:00:00,89337
2021-04-24 11:30:00,90116
2021-04-24 12:00:00,87650
2021-04-24 12:30:00,91502
2021-04-24 13:00:00,90276
2021-04-24 13:30:00,88584
2021-04-24 14:00:00,88892
2021-04-24 14:30:00,93250
2021-04-24 15:00:00,86845
2021-04-24 15:30:00,91304
2021-04-24 16:00:00,91285
2021-04-24 16:30:00,90110
2021-04-24 17:00:00,89770
2021-04-24 17:30:00,92474
2021-04-24 18:00:00,87248
2021-04-24 18:30:00,89000
2021-04-24 19:00:00,90102
2021-04-24 19:30:00,88487
2021-04-24 20:00:00,91329
2021-04-24 20:30:00,88401
2021-04-24 21:00:00,88705
2021-04-24 21:30:00,87974
2021-04-24 22:00:00,89856
2021-04-24 22:30:00,86144
2021-04-24 23:00:00,89270
2021-04-24 23:30:00,87899
2021-04-25 00:00:00,88807
2021-04-25 00:30:00,87357
2021-04-25 01:00:00,88072
2021-04-25 01:30:00,87871
2021-04-25 02:00:00,87290
2021-04-25 02:30:00,87178
2021-04-25 03:00:00,87623
2021-04-25 03:30:00,88245
2021-04-25 04:00:00,91095
2021-04-25 04:30:00,90313
2021-04-25 05:00:00,91567
2021-04-25 05:30:00,88587
2021-04-25 06:00:00,88692
2021-04-25 06:30:00,86011
2021-04-25 07:00:00,87183
2021-04-25 07:30:00,90902
2021-04-25 08:00:00,87957
2021-04-25 08:30:00,85264
2021-04-25 09:00:00,88834
2021-04-25 09:30:00,89523
2021-04-25 10:00:00,85076
2021-04-25 10:30:00,89531
2021-04-25 11:00:00,90043
2021-04-25 11:30:00,89820
2021-04-25 12:00:00,90484
2021-04-25 12:30:00,89346
